pind,volumn,title,author,poetry
12,卷1_13,春日登陜州城樓俯眺原野回丹碧綴煙霞密翠斑…聊以命篇,李世民,"['碧原開霧隰', '綺嶺峻霞城', '煙峰高下翠', '日浪淺深明', '斑紅妝蕊樹', '圓青壓溜荊', '跡巖勞傅想', '窺野訪莘情', '巨川何以濟', '舟楫佇時英']"
13,卷1_14,春日玄武門宴群臣,李世民,"['韶光開令序', '淑氣動芳年', '駐輦華林側', '高宴柏梁前', '紫庭文珮滿', '丹墀袞紱連', '九夷簉瑤席', '五狄列瓊筵', '娛賓歌湛露', '廣樂奏鈞天', '清尊浮綠醑', '雅曲韻朱弦', '粵余君萬國', '還慚撫八埏', '庶幾保貞固', '虛己厲求賢']"
14,卷1_15,登三臺言志,李世民,"['未央初壯漢', '阿房昔侈秦', '在危猶騁麗', '居奢遂役人', '豈如家四海', '日宇罄朝倫', '扇天裁戶舊', '砌地翦基新', '引月擎宵桂', '飄云逼曙鱗', '露除光炫玉', '霜闕映雕銀', '舞接花梁燕', '歌迎鳥路塵', '鏡池波太液', '莊苑麗宜春', '作異甘泉日', '停非路寢辰', '念勞慚逸己', '居曠返勞神', '所欣成大廈', '宏材佇渭濱']"
15,卷1_16,出獵,李世民,"['楚王云夢澤', '漢帝長楊宮', '豈若因農暇', '閱武出轘嵩', '三驅陳銳卒', '七萃列材雄', '寒野霜氛白', '平原燒火紅', '雕戈夏服箭', '羽騎綠沉弓', '怖獸潛幽壑', '驚禽散翠空', '長煙晦落景', '灌木振嚴風', '所為除民瘼', '非是悅林叢']"
16,卷1_17,冬狩,李世民,"['烈烈寒風起', '慘慘飛云浮', '霜濃凝廣隰', '冰厚結清流', '金鞍移上苑', '玉勒騁平疇', '旌旗四望合', '罝羅一面求', '楚踣爭兕殪', '秦亡角鹿愁', '獸忙投密樹', '鴻驚起礫洲', '騎斂原塵靜', '戈回嶺日收', '心非洛汭逸', '意在渭濱游', '禽荒非所樂', '撫轡更招憂']"
17,卷1_18,春日望海,李世民,"['披襟眺滄海', '憑軾玩春芳', '積流橫地紀', '疏派引天潢', '仙氣凝三嶺', '和風扇八荒', '拂潮云布色', '穿浪日舒光', '照岸花分彩', '迷云雁斷行', '懷卑運深廣', '持滿守靈長', '有形非易測', '無源詎可量', '洪濤經變野', '翠島屢成桑', '之罘思漢帝', '碣石想秦皇', '霓裳非本意', '端拱且圖王']"
18,卷1_19,臨洛水,李世民,"['春搜馳駿骨', '總轡俯長河', '霞處流縈錦', '風前漾卷羅', '水花翻照樹', '堤蘭倒插波', '豈必汾陰曲', '秋云發棹歌']"
19,卷1_20,望終南山,李世民,"['重巒俯渭水', '碧嶂插遙天', '出紅扶嶺日', '入翠貯巖煙', '疊松朝若夜', '復岫闕疑全', '對此恬千慮', '無勞訪九仙']"
20,卷1_21,元日,李世民,"['高軒曖春色', '邃閣媚朝光', '彤庭飛彩旆', '翠幌曜明珰', '恭己臨四極', '垂衣馭八荒', '霜戟列丹陛', '絲竹韻長廊', '穆矣熏風茂', '康哉帝道昌', '繼文遵后軌', '循古鑒前王', '草秀故春色', '梅艷昔年妝', '巨川思欲濟', '終以寄舟航']"
21,卷1_22,初春登樓即目觀作述懷,李世民,"['憑軒俯蘭閣', '眺矚散靈襟', '綺峰含翠霧', '照日蕊紅林', '鏤丹霞錦岫', '殘素雪斑岑', '拂浪堤垂柳', '嬌花鳥續吟', '連甍豈一拱', '眾干如千尋', '明非獨材力', '終藉棟梁深', '彌懷矜樂志', '更懼戒盈心', '愧制勞居逸', '方規十產金']"
